"id","lon","lat"
"289","-73.95881081","40.6845683"
"419","-73.97355569","40.69580705"
"337","-74.00838676","40.7037992"
"409","-73.95643107","40.6906495"
"245","-73.97703874","40.69327018"
"260","-74.01167797","40.70365182"
"418","-73.982578","40.70224"
"252","-73.99852205","40.73226398"
"407","-73.991454","40.700469"
"321","-73.98971773","40.69991755"
"2005","-73.97100056","40.70531194"
"2001","-73.97332996","40.69892054"
"372","-73.958089","40.694528"
"119","-73.97803415","40.69608941"
"2017","-73.97121414","40.75022392"
"2010","-74.00234737","40.72165481"
